,SMILES,index_low_affinity,counts_low_affinity,RDkit_Objects,index_high_affinity,counts_high_affinity,index,counts,frequencies_low_affinity,frequencies_high_affinity,scoring
0,cN(C)C,21328,227,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3b58510>,2552,28,22577,255,0.17421335379892555,0.2857142857142857,0.09367389936005023
1,cc(c)CN(C)C,23575,166,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3cb1200>,2823,20,24943,186,0.1273983115886416,0.20408163265306123,0.06751068734281943
2,cn(c)C,32929,130,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3e7bdd0>,3836,17,34820,147,0.0997697620874904,0.17346938775510204,0.06670153445358053
3,CCNC(N)=O,6168,82,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3e13120>,727,13,6529,95,0.06293169608595549,0.1326530612244898,0.06546889240240647
4,ccc(cc)CN,29554,159,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3c78ac0>,3454,19,31247,178,0.12202609363008442,0.19387755102040816,0.06359754077122666
5,ccc(OC)c(c)C,28621,80,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3b3f4a0>,3354,12,30266,92,0.06139677666922486,0.12244897959183673,0.05741654528332745
6,cc(c)N,24397,354,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3cf07b0>,2915,34,25822,388,0.27168073676132004,0.3469387755102041,0.05735396559220193
7,CC(=O)NC(C)C,1074,85,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3b2ad60>,128,12,1141,97,0.06523407521105141,0.12244897959183673,0.0536016770230565
8,cc(c)N(CC)CC,24478,74,<rdkit.Chem.rdchem.Mol object at 0x7f2bd39d2cf0>,2925,11,25909,85,0.056792018419033,0.11224489795918367,0.05239135644701484
9,CNC(=O)CN,10249,38,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3bde3c0>,1212,8,10854,46,0.02916346891788181,0.08163265306122448,0.05096109811747929
10,CC(C)N,2001,402,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3deac10>,260,37,2141,439,0.3085188027628549,0.37755102040816324,0.050706520675481634
11,cccc(c)N,32599,290,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3b0ce40>,3778,28,34477,318,0.22256331542594013,0.2857142857142857,0.05055009870430183
12,CNC[C@H](C)O,11292,15,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3a17890>,1364,6,11975,21,0.011511895625479662,0.061224489795918366,0.04914358942059471
13,CCCN(c)C,3732,66,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3ac9f90>,470,10,3974,76,0.05065234075211052,0.10204081632653061,0.04885035257452869
14,CCn,8373,93,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3ec72e0>,987,12,8869,105,0.0713737528779739,0.12244897959183673,0.047556849484327396
15,CC(C)CCN,1892,69,<rdkit.Chem.rdchem.Mol object at 0x7f2bd38ee900>,245,10,2030,79,0.052954719877206444,0.10204081632653061,0.046554380703667936
16,cnn,33684,171,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3c6ea50>,3935,18,35626,189,0.13123561013046814,0.1836734693877551,0.04598858553830682
17,cc(C)n,22474,197,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3cb1ba0>,2683,20,23785,217,0.15118956254796623,0.20408163265306123,0.04547050443548994
18,C[C@H](N)C(=O)N(C)C,15123,22,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3e5a9e0>,1825,6,16021,28,0.01688411358403684,0.061224489795918366,0.04359801297177175
19,Oc1ccccc1,19315,86,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3a3c7b0>,2316,11,20438,97,0.06600153491941672,0.11224489795918367,0.043289772963804075
20,cCN,20322,377,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3cfc2e0>,2442,34,21506,411,0.2893323100537222,0.3469387755102041,0.04313360962299567
21,CC(C)C,1773,366,<rdkit.Chem.rdchem.Mol object at 0x7f2bd3e7d270>,221,33,1894,399,0.28089025326170375,0.336734693877551,0.04216876267422966
